content,date
"Euro Markets: EUAs drop to lowest in three months as sentiment weighs, as UKAs set new record low. EUAs dropped to a new three-month low on Tuesday as bearish sentiment gathered pace and the market geared up for Wednesday’s weekly Commitment of Traders data, while UK Allowance prices dropped for the ninth time in ten days to set a new record low.",13-September-2023 
"European Parliament backs higher 2030 renewable energy target. The European Parliament voted in favour of nearly doubling the share of renewable energy in the EU’s overall energy consumption by 2030 on Tuesday in Strasbourg, after months of infighting over the proposal both on the Parliament and Council of member states side.",12-September-2023 
"EU’s renewable energy directive set to overcome last hurdle with full Parliament vote. The EU is set to take its final step in approving a revised more ambitious renewable energy legislation as the bill faces a full EU Parliament vote on Tuesday, with most parties likely to vote in favour.",12-September-2023 
"EU metals sector deploys taskforce to work with EU on aligning with the bloc’s 2050 goals. The European metals industry started a process to establish its own transition pathway in collaboration with the European Commission, two sector associations announced on Monday.",12-September-2023 
"Euro Markets: EUAs snap seven-day losing streak with modest gain on back of continued gas strength. European carbon prices rose slightly on Monday morning despite a relatively weak auction result, as EUAs garnered some support from a strong advance in natural gas after a major Australian LNG producer said there was little prospect of a swift resolution to strikes that have cut gas output.",12-September-2023 
"IMO shipping strategy a major step forward for sector’s climate action -study. The International Maritime Organization’s strategy for the transition to renewable energy is a major step forward in ambition that has overtaken many of the national, regional, and industrial steps already in place, according to research released Monday.",11-September-2023 
"Euro Markets: EUAs drop to three-month low after prices break below technical supports. European carbon fell sharply on Friday, recording its seventh successive daily loss, as prices plunged to a three-month low after falling below a key technical support level, even while gas prices jumped amid the start of industrial action at two major LNG exporting facilities in Australia.",9-September-2023 
"Euro Markets: EUAs drop to one-month lows as traders look beyond auction pause to bearish fundamentals. European carbon allowances gave up morning gains for a second session on Thursday, posting their sixth day of losses as a sparsely-populated market looked past a second day without auction supply to more bearish fundamental indicators, while natural gas fluctuated sharply amid conflicting reports around a scheduled strike at LNG plants in Australia.",8-September-2023 
"EU nations urged to pursue power market reform in grid renovation wave. EU nations should make progress “as soon as possible” on the European Commission’s proposal to tackle high energy prices and energy supply issues, the executive’s energy chief Kadri Simson reminded participants of a high-level forum in Brussels on Thursday.",8-September-2023 
"EU trade deficit imperils bloc’s big-emitting manufacturing industries -industry alliance. EU industries’ trade deficit is widening and risks deteriorating further if concrete, targeted solutions are not implemented, representatives from 25 EU industries have warned in a letter sent to  European Commission President Ursula Von der Leyen, Commissioners, and the EU parliament on Thursday.",7-September-2023 
"Carbon Pulse grows global news reporting team by almost 50% in biggest hiring push yet. FREE READ – Carbon Pulse has increased its global team of reporters by nearly 50% in its largest hiring push to date, as the company channels significant investment into further strengthening the world’s premier carbon markets news service.",7-September-2023 
"EU regulation to impose ETS allowance transaction limits in regulation update. The European Commission is set to introduce EU ETS allowance transaction limits as part of security measures for the market’s Union Registry, with a regulation due to enter into force on Sunday that includes a provision to charge a new fee for registry access.",7-September-2023 
"Euro Markets: EUAs give up morning gains amid steep plunge in gas prices on delay to strike action. European carbon fell sharply in the afternoon on Wednesday, wiping out the morning’s gains amid a plunge in gas prices after strike action at LNG plants in Australia was delayed, and following the release of positioning data that showed that speculative traders had increased their net short holdings.",7-September-2023 
"EU’s carbon capture, utilisation, and storage strategy’s release could be delayed -source. The European Commission’s strategy to capture, utilise and store carbon is at risk of being published later than the originally anticipated fourth quarter release, an EU source told Carbon Pulse on Tuesday, as the EU’s executive grapples with new appointments and approaches the end of its current term.",6-September-2023 
"Euro Markets: EUAs ease lower amid steady selling even as auctions begin two-day pause. European carbon weakened on Tuesday afternoon as the pressure of steady selling interest bore down on prices amid patchy demand and as traders positioned themselves for two days without daily EUA auctions, while the UK reduced its remaining auction volumes for the year.",6-September-2023 
"EEX unveils global index family to track evolving carbon markets. The European Energy Exchange (EEX) on Tuesday announced the launch of its Global Carbon Index (GCI) Family, aimed at providing a comprehensive snapshot of rapidly evolving global carbon markets.",5-September-2023 
"European Commission President outlines duties of proposed climate and Green Deal commissioners. European Commission President Ursula von der Leyen laid out the tasks for the new European Green Deal commissioner and the candidate commissioner for climate action in their mission letters published on Tuesday morning, with much of the focus on preparing a new 2040 EU climate target and the implementation of the existing climate files.",5-September-2023 
French industrial group files lawsuit against EU over ETS free allocation rules. A French industrial minerals group is demanding the European Commission pay €40 million in damages caused by what it says is an incorrect interpretation of post-2022 ETS free allocation rules.,5-September-2023 
"Euro Markets: EUAs drop to three-week low as September auction volumes weigh on sentiment. European carbon prices fell to their lowest in three weeks on Monday after finally breaching a key technical support as traders began to react to the resumption of larger EUA auction volumes, while energy prices were weaker amid healthy gas stocks.",5-September-2023 
"UK should implement EU-style CBAM to keep trade going strong in Northern Ireland, says study. The UK should link its ETS with that of the EU and implement an equivalent EU-style carbon border adjustment mechanism (CBAM) in order to prevent any negative impacts on Northern Ireland trade as the EU CBAM enters into force on Oct. 1 and companies look to circumvent the impact of paying higher customs tariffs on carbon-intensive goods, according to a study published on Monday.",4-September-2023 
"ANALYSIS: EU doubles down on CCUS as UK’s strategy falters at funding stage. As the EU starts defining a strategy to kickstart its carbon capture, utilisation and storage (CCUS) industry, the UK government’s uncertainty over funding is leading to a loss of momentum in one of the countries that first embraced it.",2-September-2023 
"Euro Markets: EUAs post marginal weekly drop as market begins to adjust to new supply. Carbon prices were little changed as the new month began, trading in a narrow range as the market started to absorb the impact of higher auction supply, while energy markets were also relatively steady amid healthy gas supplies, even as the prospect of strike action at Australian LNG plants grew.",2-September-2023 
"Carbon analyst significantly downgrades mid-term EUA price outlook. A veteran carbon analyst has revised down their forecast for EUA prices out to 2030 in a report exclusively seen by Carbon Pulse, and is now anticipating a much slower growth trajectory out to €200 by the end of the decade.",2-September-2023 
"Countries call for EU-wide CO2 transport network to be part of bloc’s CCUS strategy. A number of EU nations have called for the European Commission to develop a shared CO2 transport network as part of the bloc’s industrial carbon management strategy initiative, though NGOs contest whether such infrastructure is really needed.",1-September-2023 
"Exchange-traded product slashes EUA holdings by 27%. One of the largest exchange-traded products that contains EUAs has slashed its holdings in EU carbon by 27% to their lowest level since the end of last year, according to the investment firm’s website.",1-September-2023 
"Malta seen halting EUA trading account applications after influx from shipping sector. Malta has paused accepting applications for carbon trading accounts amid an influx of applications, market participants told Carbon Pulse this week, noting that that the demand was mainly from non-EU shipping companies trying to prepare for the sector’s imminent entry into the EU ETS.",1-September-2023 
"Maritime data firm, European utility team up to offer EU ETS management solution for shippers. A maritime data firm has teamed up with one of Europe’s biggest utilities to unveil a web-based EU ETS management solution for shippers being brought into the bloc’s carbon market.",1-September-2023 
"Euro Markets: EUAs post first August drop since 2019 as market eyes supply hike in September. European carbon prices fell over the month of August for the first time since 2019 as the final reduced volume auction cleared at a discount, capping an early rally as participants anticipated the resumption of full sale volumes from tomorrow, while weaker natural gas prices appeared to shift generation margins in favour of gas, cutting potential demand for EUAs.",1-September-2023 
"COMMENT: The market impact of the new EU ETS compliance cycle. The market impact of the new EU ETS compliance cycle explained by Gauthier Bily, CEO of Vertis Environmental Finance.",1-September-2023 
"Falling power emissions, rising hydro supply to depress EUA demand over balance of 2023 -analysts. European power emissions are set to fall by more than a fifth this year as gas-fired generation has returned to profitability in the region, while an uptick in hydro generation will also help depress demand for EUAs over the coming month, according to analysts.",31-August-2023 
"﻿ANALYSIS: Experts cautious on calls for European carbon central bank. Amid recent calls for the introduction of a European carbon central bank to help regulate the EU ETS beyond 2030 as well as integrate removals into the mechanism, stakeholders have raised concerns both on the feasibility as well the necessity of introducing such a centralised regulatory body.",31-August-2023 
"Italian cement company to trial replacing fuel with a thermal battery to lower emissions. A US-based startup is partnering with Italy’s second largest cement company to trial a technology that converts electricity to stored heat, which could significantly lower CO2 emissions for hard-to-abate sectors. ",31-August-2023 
"Euro Markets: EUAs settle at one-week high as strong auction and COT data underpin rally. European carbon prices moved higher on Wednesday, following a recent trend of early-session strength and holding on to those gains after a strong auction and weekly Commitment of Traders data from the two main exchanges that showed a slight build in investment funds’ short positioning.",31-August-2023 
"EU sets out rules for first green hydrogen auction. The European Commission on Wednesday set out rules for participation in its inaugural auction, funded through ETS revenue, to subsidise green hydrogen across the 27-nation bloc.",30-August-2023 
"EU fossil power generation hits record low in H1 as demand collapses. Power generation across EU countries fell to its lowest level in the first six months of 2023, as a 5% drop in overall consumption year-on-year and strong renewable output led to a 23% collapse in coal and 13% fall in gas burn.",30-August-2023 
"EU’s Von der Leyen proposes Dutch foreign minister for climate role. European Commission President Ursula Von der Leyen on Tuesday proposed Dutch deputy prime minister and foreign minister Wopke Hoekstra as the next EU climate commissioner, following an interview with the candidate put forth by the outgoing Dutch coalition government.",30-August-2023 
"Euro Markets: EUAs give up morning gains amid sustained selling as natural gas weakens despite strike news. European carbon prices reversed early gains with a sharp decline on Tuesday afternoon in thin trading, as natural gas prices came under steady pressure even as workers at Chevron’s Australian LNG operations prepared to strike.",30-August-2023 
"PGE to exit coal by 2030 and targets climate neutrality by 2040. Poland’s largest utility PGE plans to spin off all its coal capacity by the end of the decade, heavily invest in wind and nuclear, and reach climate neutrality by the 2040, the firm said in a strategy update on Tuesday.",29-August-2023 
"Euro Markets: EUAs continue to weaken, post 3% weekly loss after early short-covering rally. European carbon prices dropped for a third day to return a 3% weekly decline on Friday as traders resumed bearish bets after an early bout of profit taking following one of the strongest auction results this year, while energy prices were steadily firmer amid continued worries over Australian LNG output.",26-August-2023 
"France extends the permissible run-time of its two coal plants as insurance against winter blackouts. France’s two remaining coal power plants have been allowed to operate for longer in case of winter blackouts thanks to a temporary relief of emissions reduction standards through 2024, announced the energy transition ministry.",25-August-2023 
"COMMENT: Without removals, no net-zero economy. Instead of a Carbon Central Bank approach, a functioning, future-oriented carbon market can address the challenges of liquidity constraints and residual emissions as the EU ETS cap approaches zero, writes Marcus Ferdinand of Veyt.",25-August-2023 
"Green groups challenge EU to ramp up its 2030 emissions target to 65%. Green groups have challenged the European Commission to revise upwards its 2030 emissions target to at least 65% compared to 1990 levels instead of the current 55%, submitting a request to the EU executive to review its legal text on annual emissions allocations for sectors outside the current EU ETS this week.",25-August-2023 
Euro Markets: EUAs follow gas lower as deal struck to avoid LNG supply shock. European carbon markets continued to track crashing gas prices on Thursday as reports emerged that industrial strike action at a key LNG export plant in Australia has now been averted.,24-August-2023 
"Euro Markets: EUAs, UKAs ease back as volatile TTF gas unloads risk of LNG supply shortage. European and British carbon allowance prices moved lower on Wednesday as they continued to track volatile gas market movements, with traders adjusting positions to price in supply-side risk from potential strikes at an LNG export plant in Australia, while exchange data also reported that funds had last week trimmed net short positions.",23-August-2023 
"Germany to fall short on “overestimated” 2030 climate targets. Germany’s plan to reduce its greenhouse gas emissions is likely to fail short of the nation’s climate targets, an independent panel warned on Tuesday, in a release that could pile pressure on Berlin to ramp up its mitigation policies. ",23-August-2023 
Power-hungry Bitcoin miners turn to hydro for new European data centres. Bitcoin mining companies are increasingly looking to use renewable energy to sustain their new cryptocurrency data centres in Europe as carbon and energy costs bite.,23-August-2023 
"EU climate chief officially resigns, with former energy boss Sefcovic named as replacement. EU climate chief Frans Timmermans officially handed in his much-anticipated resignation on Tuesday, with the European Commission temporarily handing responsibilities for the European Green Deal and climate action files to Commissioner Maros Sefcovic.",23-August-2023 
"Two ports in North Africa identified as possible carbon leakage hotspots for ships. Two ports in Northern Africa have experienced a jump in activity in the past year in what may be a pre-emptive attempt by ship operators to avoid purchasing EU carbon allowances once the shipping sector is part of the EU ETS in 2024, a piece of additional draft legislation by the European Commission has outlined. ",22-August-2023 
"Euro Markets: EUAs, UKAs strengthen on bullish energy complex and speculative trading. Benchmark European carbon prices rose as much as 3% on Tuesday as participants eyed up key technical resistance levels, with support continuing to filter in from the risk of strikes at a key Australian LNG export terminal that boosted continental gas contracts, while UKAs soared as much as 14%, to levels last seen in July, on bullish British energy prices and speculative trading.",22-August-2023 
"EEX needs EU antitrust green light for Nasdaq deal -EU. German-headquartered European Energy Exchange (EEX) will require the green light from the EU’s antitrust authorities to acquire Nasdaq’s European power trading and clearing business, the European Commission said on Monday.",21-August-2023 
"Euro Markets: EUAs track gas prices as market considers risk of Australian LNG strike action. European carbon allowance prices tracked volatile movements on gas markets on Monday as the risk of industrial action at Australian LNG terminals supported prices, while a below-market auction filtered in some weakness into EUAs. ",21-August-2023 
"Euro Markets: EUAs trim weekly gain as traders speculate whether August rally is over. European carbon prices dropped sharply on Friday, trimming the week’s gain to just 1.5% as selling picked up after prices had reached a 13-day high on Thursday, with traders speculating whether the traditional August rally had run out of steam early or if the slump was merely due to short-term profit taking.",19-August-2023 
ANALYSIS: Prepare for takeoff – EU airlines start to get ready for the end of free emission allowances. The phase out of EU ETS free allocation for the aviation sector by 2026 is prompting some airlines to already hedge their emission allowance position for 2024 and beyond.,18-August-2023 
"UK ETS reforms may cost oil major £30 mln hike in carbon costs, say analysts. Proposed reforms to the UK carbon market could result in oil and gas major seeing a near £30 million rise in permit costs due to the inclusion of certain emissions in the scheme from the production of offshore fossil fuels, according to an analyst report published in August, though the overall impact on the sector of the changes will be “minimal”.",18-August-2023 
"EU executive adopts new reporting rules for CBAM kick-off, outlining reporting penalties. The European Commission adopted on Thursday the reporting rules for the bloc’s upcoming carbon carbon adjustment mechanism (CBAM), starting its transitional phase in October.",18-August-2023 
"Euro Markets: EUAs flirt with €90 before profit-taking emerges, as gas falls back amid Australian strike talks. European carbon prices rose for the fifth time in the last six sessions on Thursday, climbing to their highest in 13 days and shrugging off the weakest auction in seven weeks before profit-taking trimmed the gains, while energy markets weakened late on amid reports that negotiators are approaching a deal to avert strike action at major Australian LNG facilities.",18-August-2023 
"EU greenhouse gas output fell nearly 3% in Q1, with ETS-covered sectors diverging in their rate of decrease. Greenhouse gas (GHG) emissions from sectors covered by the EU ETS showed varied signs of decrease in the first months of 2023 as total emissions across the 27-nation bloc as a whole fell by nearly 3% year-on-year, according to EU data released on Wednesday.",17-August-2023 
"Euro Markets: EUAs set new 2-week high as data shows rise in funds’ net short positioning. European carbon prices climbed to another August high on Wednesday as positioning data showed speculative investors had increased their net short position last week, while energy prices were modestly lower on profit taking after Tuesday’s sharp increases.",17-August-2023 
"ANALYSIS: Hedging offers EUAs near-term support but weak demand signals to keep price pressure on. An uptick in the forward hedging of EU carbon allowances is likely to have accounted for some of the recent strength in benchmark EUA prices, but analysts point to a bearish remainder of 2023 as power and industrial emissions continue to wane and coal-to-gas fuel switching is also likely to weaken demand.",17-August-2023 
"ANALYSIS: One year in, the US IRA climate law has triggered a global green industry race. One year has passed since the launch of the subsidy-laded Inflation Reduction Act (IRA) in the US, with the legislation igniting domestic cleantech development but also sparking a green investment race in Europe and worldwide.",16-August-2023 
"Euro Markets: EUAs set early 2-week high but slip back despite strong gains in gas. European carbon allowance prices set a new two-week high early on Tuesday before falling back in thin trading as much of Europe observed a public holiday and traders awaited new Commitment of Traders data, while energy prices forged higher amid rising temperatures and concerns over LNG supplies.",16-August-2023 
"EU shipping sector’s emissions likely to flat-line in 2024, adding bearish pressure to EUA prices -analysts. Greenhouse gas emissions from the EU’s shipping sector are not likely to reach 2019 levels for the next two years due to lower demand for shipping services as well as the sector’s decarbonisation efforts, analysts predict, exerting additional downward pressure to an already bearish outlook for EUA prices in 2024.",15-August-2023 
Euro Markets: Carbon rises for a third day to nine-day high as summer holiday season reaches its peak. European carbon prices climbed to their highest in two weeks in relatively thin trading on Monday as trading activity slowed during the peak of the summer break but the market extended its gains for a third day.,15-August-2023 
"Euro Markets: EUAs climb to eight-day high, matching end-July level as buying picks up. European carbon permit prices rose to their highest in eight days on Friday, bringing the benchmark contract level with prices at the end of July after a 3.7% weekly gain amid a resumption of buying activity based on technical and fundamental indicators.",12-August-2023 
"Orsted aims for pioneering CCS project to launch operations in 2025. Wood-burning cogeneration or combined heat and power (CHP) plants established by Danish energy firm Orsted will begin to have their emissions captured and stored during 2025, as part of Denmark’s first full-scale CCS agreement, the company outlined during its financial results on Thursday.",11-August-2023 
"Euro Markets: EUAs settle at seven-day high as market climbs amid gas weakness, while UKAs set now low. European carbon prices clawed back Wednesday’s surprise losses in a quiet Thursday session, taking their cue from the first auction premium in eight days and settling at their highest in seven days despite retracing gas prices, while UK Allowances continued to set new lows.",11-August-2023 
"German steelmaker reports robust quarter but 13% drop in sales year-on-year. German steelmaker Thyssenkrupp reported a 13% year-on-year drop in quarterly global sales amid lower prices, though it said it was targeting the upper range of its full-year forecast after a “robust” quarter in its financial results on Thursday.",11-August-2023 
"Southern European heatwave not enough to lift Europe-wide power demand, say analysts. European power consumption slumped 6% compared to historical averages in July despite an uptick in demand from air conditioning across the Southern countries that were struck by extreme heat, according to analysts.",10-August-2023 
"EU greenlights state aid for Germany’s energy-intensive fuel companies at risk of carbon leakage. Germany’s energy-intensive companies that are part of the domestic fuel emissions trading system will be partially compensated for any risk of carbon leakage caused by higher fuel prices, as the European Commission approved the €6.5 billion scheme on Thursday.",10-August-2023 
"CEZ posts 22% drop in ETS-covered fossil generation for H1 as RWE confirms output decline. Czech utility CEZ reported a drop of more than one-fifth year-on-year in its EU coal and gas power output over the first sixth months of the year, in quarterly results published Thursday, joining multiple other Europe-headquartered energy companies in posting much lower generation levels in 2023.",10-August-2023 
"German government agrees compromise on hike of domestic carbon price -Bloomberg. Germany’s coalition government has agreed to raise its domestic carbon price for buildings and transport but to a level still below its pre-energy crisis upward trajectory, Bloomberg reported on Wednesday, citing anonymous sources.",10-August-2023 
"Poland persists in legal fight against EU climate policies with fresh filings on ETS2 and CBAM. Poland has filed legal challenges to the EU’s highest court against the bloc’s planned second carbon market and carbon border adjustment mechanism (CBAM), the government said on Wednesday, the latest in a series of cases Warsaw has submitted over the EU’s Fit for 55 climate policy package.",10-August-2023 
"Euro Markets: EUAs surge early on position data but rally fizzles despite rocketing natural gas prices. European carbon prices rose sharply mid-morning on Wednesday after weekly Commitment of Traders data showed that investment funds had turned a net long position into net short, but gave up all the day’s gains in the afternoon even though natural gas prices rocketed by as much as 40%.",10-August-2023 
"Another EU steelmaker flags weak economic outlook in quarterly results. A steelmaker headquartered in the EU has signalled its outlook for production in the region is the weakest across its global portfolio, joining other members of European heavy industry in a pessimistic economic view for the continent for the remainder of 2023.",9-August-2023 
"Euro Markets: EUAs move higher as market anticipates auction pause, bullish position data. European carbon prices spent the first half of Tuesday trading around a key technical and psychological level, before strengthening in the afternoon as traders anticipated the lack of an EUA auction on Wednesday, as well as updated position data that many expected to show speculative traders had trimmed long positions.",9-August-2023 
"EU countries are set to outstrip their targets on solar energy, says business group. EU nations are likely to overachieve on the bloc’s overall targets for installing solar power over this decade, according to a business group’s assessment of the government plans submitted to date.",8-August-2023 
"Euro Markets: EUAs slide despite strong gains in gas as market battles over key support level. European carbon allowance prices declined in thin trading on Monday, with bulls and bears battling over a key technical level, while natural gas made strong gains even as data showed further contractions in industrial output in the EU’s largest economy.",8-August-2023 
"EU wants firms to set out detailed climate plans in return for free allocations. EU industrial companies should set out climate plans featuring emissions intensity goals and planned measures for every five-year period through 2050 to ensure they can continue to receive their full free allocation of carbon allowances, the European Commission said on Friday.",5-August-2023 
"Germany’s new ‘hydrogen-ready’ gas units to lead to emissions bump, say analysts. Germany’s plan to tender 24 GW of hydrogen and fossil gas units from 2024 could lead to the release of almost 5 MtCO2 emissions per year as industry is expected to take time to build a low-carbon hydrogen supply chain, analysts told Carbon Pulse.",5-August-2023 
"Euro Markets: EUAs resume decline, posting 5.7% weekly loss as UKAs record largest weekly fall in 11 months. European carbon ended the week on a bearish note as prices erased Thursday’s gains to post a 5.7% weekly decline as trading activity diminished sharply after the busiest Monday-Thursday in nearly two months, while UK Allowances consolidated even as the British market recorded its biggest weekly drop in nearly a year.",5-August-2023 
"Greek utility PPC posts 26% drop in ETS-covered power generation. Greece’s largest electricity producer PPC reported a 26% fall in fossil burn covered by the EU ETS over the first six months of 2023, compared to last year.",4-August-2023 
"Euro Markets: EUAs snap 4-day losing streak as bulls and bears battle in narrow range, while UKAs hit new low. European carbon rallied on Thursday and held on to most of the gains, ending a run of four consecutive declines as aggressive early buying drove prices up by as much as 2.9% before bears held the line, while UK carbon prices fell to a new record low in thin trading.",4-August-2023 
"EU carbon analyst leaves for role at oil and gas major. A EU and UK carbon analyst will leave their role at an energy consultancy at the end of the week for a new position at a multinational oil and gas firm, they told Carbon Pulse on Thursday.",3-August-2023 
"UKA & EUA POLL: Analysts slash UKA forecasts while leaving outlook for EUAs unchanged. Analysts have left their short-term forecasts for EU carbon prices more or less unchanged despite a large drop in carbon-intensive power generation and sluggish demand from industrials, while again raising their longer-term outlooks and significantly slashing their expectations for UK carbon costs.",3-August-2023 
"Euro Markets: EUAs continue to drop despite funds building length, while UKAs reach new nadir. European carbon prices extended their recent losses to another two-month low in active trading on Wednesday after data from ICE showed investment funds had boosted their net long position last week, while UK Allowance prices continued their five-month decline to reach a new record low.",3-August-2023 
"Euro Markets: EUAs buckle under heavy selling pressure despite auction cuts as UKAs plunge to record low. European carbon began the month of August on a weak note, belying expectations of a supply cut-driven rally as aggressive selling drove the market to a seven-week low, while front-December UK Allowance futures dropped to the lowest price on record as the outlook for British demand continued to worsen.",2-August-2023 
"Bulgarian court defers anti-pollution decision to enable coal power plant to keep running. Bulgaria’s supreme court deferred a decision on Tuesday that could have shut down one of the biggest coal power plants in the EU ETS, according to green groups frustrated that their long-running air pollution battle is now set to continue.",1-August-2023 
"Uniper EU fossil generation drops 22% in H1, plans billions in green investments. German utility Uniper’s EU ETS-covered power production fell by over one fifth in the first six months of 2023 compared to 2022, as it announced plans to triple its green investments in the coming years, in quarterly results published Tuesday.",1-August-2023 
"Euro Markets: Carbon retreats, posts 2.7% monthly drop in July as market readies for August supply cut. European carbon prices ended the month of July down 2.7% as EUAs extended their decline for a second day amid mounting selling pressure, even as the market prepared for the August cut in auction supply that starts on Tuesday, while energy prices rose as gas recovered from a technical sell-off last week.",1-August-2023 
"EU publishes updated volume of ETS allowances to be auctioned for REPowerEU for next three years. The European Commission has published a proposal for the bloc’s revised EU ETS auctioning regulation that features updated annual volumes to be auctioned for the REPowerEU energy security strategy, with some analysts saying the volume is higher than expected and therefore could be bearish for carbon prices.",31-July-2023 
"EU Market: EU carbon notches 3% weekly loss ahead of auction cull. EUAs continued their retreat from a mid-week five-week high on Friday to record a 3% weekly loss, even as the August halving of auction supply looms.",28-July-2023 
"Experts advocate New York carbon market design should follow North American model over European approach. Using North American automatic programme adjustments in the design of New York’s cap-and-invest scheme, rather than the supply-responsive approaches that their European counterparts use, would better serve to ensure programme stability, experts said Thursday.",28-July-2023 
EU court rules against Swedish firm’s bid to stay in the EU ETS. A top EU court has ruled against a Swedish company’s bid to stay in the EU ETS despite its exclusively biomass-fueled operations that had resulted in the facility having almost no reportable CO2 emissions.,28-July-2023 
"Three Eastern EU nations seek to use REPowerEU funding for fossil fuels -report. Three EU governments are trying to direct public money towards more fossil fuels, rather than steering away as the 27-nation bloc’s overarching climate strategy requires, a report showed on Thursday.",28-July-2023 
"Euro Markets: EUAs make small gain as market stabilises after Wednesday’s decline, while energy weakens again. EUA prices stabilised at lower levels before a late moderate gain on Thursday as the market appeared to find buying support after dropping by as much as €3.20 on Wednesday, while gas extended yesterday’s sizeable losses as August contract expiry neared and over-supply concerns appeared to be easing.",28-July-2023 
"European utilities report drop in ETS-covered power generation as another steelmaker signals weak outlook. Multiple Europe-headquartered power generation firms reported a significant drop in EU ETS-covered output in quarterly results published late Wednesday and Thursday, while a large steel producer became the latest to flag a weak demand outlook due to wider macroeconomic uncertainty.",27-July-2023 
"Euro Markets: EUAs wipe out early gains, erase week’s increase as COT data shows funds building net length. EUA prices wiped out all this week’s gains on Wednesday after earlier climbing to their highest in five weeks, as position data showed investment funds had boosted their net long position to the most in more than three months, while natural gas prices continued to gyrate, gaining as much as 5.2% before also plunging to settle 10% down on the day.",27-July-2023 
"EU steel association revises down 2023 outlook on sluggish demand. EU steel association Eurofer has lowered its 2023 consumption forecast for the 27-nation bloc, citing high energy prices, war-related disruptions, and sluggish demand prospects as resulting in a deeper-than-expected 3% recession for the ETS-covered sector, relative to 2022 levels.",26-July-2023 
"ANALYSIS: Hungary could raise over €300 mln with new carbon levies, other member states unlikely to follow suit. Hungary could raise hundreds of millions of euros from its recently adopted carbon tax and free allowance transaction fee policy on operators that receive high volumes of EU carbon permit handouts, analysts told Carbon Pulse, though they do not believe it likely that other nations in the bloc will introduce similar regulation given the expected competitive disadvantage and costs for affected firms in the country.",26-July-2023 
"Euro Markets: EUAs advance to new one-month high amid steady buying interest even as downside bets increase. EUA prices advanced to a new one-month high on Tuesday as continued accumulation ahead of the August supply cut underpins the market, though options trading suggested traders are boosting bearish bets for the end of the year.",26-July-2023 
"EU nations take further step toward completing Fit for 55 climate package. EU member states formally adopted several key bits of climate legislation on Tuesday, to bring the 27-nation bloc closer to completing its mammoth climate policy package designed to ensure the it reaches its goal to reduce emissions by at least 55% by 2030 compared to 1990 levels.",25-July-2023 
"Brussels seeks input on existing methodologies for certifying industrial carbon removal practices. The European Commission is seeking input on existing methodologies for certifying industrial carbon removal practices, as the bloc moves towards establishing a voluntary framework for these activities.",25-July-2023 
"Euro Markets: EUAs consolidate last week’s gains as gas resumes upward trend. European carbon prices gave up early gains to end Monday modestly weaker, as prices consolidated after six successive days of gains ahead of August’s annual drop in auction supply, while gas prices held on to early advances before surging again late in the day.",25-July-2023 
"Southern Europe sees gas generation spike as air conditioning ramps up to battle extreme heat. Parts of Europe have seen ETS-covered fossil generation spike due to higher demand for air conditioning after extreme heat has swept across Southern countries such as Greece, Spain, and Italy, as analysts point to sustained consumption this summer with temperatures set to remain elevated.",24-July-2023 
"Ryanair signals high EU carbon price risk on future business in new sustainability report. European carrier Ryanair has outlined the main climate-related risks to revenues in a 2023 sustainability report published Monday, with increased carbon pricing cited as “most impactful” on strategy in the firm’s net-zero outlook.",24-July-2023 
"European chemicals groups signals dismal outlook for regional output in 2023. Chemical production in the EU is on course to decline by about 8% in 2023 compared to the previous year, with no imminent recovery of demand in the region, a large industry group has warned, as it proposes a new climate manifesto for Brussels to follow during the next legislative cycle to keep the ETS-covered industry competitive.",24-July-2023 
"Hungary introduces €40/tonne carbon tax, 10% transaction fee for recipients of large volumes of free EU Allowances. The Hungarian government announced this week it will introduce a tax of €40 per tonne of emissions for EU ETS participants that receive a proportionately large volume of free carbon allowances, as well as a 10% transaction fee on the value of those permits.",22-July-2023 
"Euro Markets: EUAs extend pre-August rally, reaching 1-month high as spread to UKAs widens 25% in a week. European carbon prices rose 6.3% this week, reaching their highest in a month on Friday as buying continued ahead of August’s annual drop in auction supply, further widening the EUA premium to UK Allowances, while energy prices gave up early gains amid profit-taking ahead of the weekend.",22-July-2023 
Former Shell global environmental products head joining Mercuria. Shell’s former manager of Global Environmental Products is joining Mercuria in a similar role.,21-July-2023 
"RWE posts 17% drop in EU ETS-covered fossil power output in H1. RWE reported a drop of almost one-fifth year-on-year in power generation covered by the EU ETS during the first six months of 2023, in preliminary results published Friday.",21-July-2023 
"Steelmaker SSAB misses profit forecast with demand set to remain low. Swedish steelmaker SSAB highlighted weak demand in Europe as the core reason for a halving of its operating profit in Q2, with global steel prices also falling, the firm said in quarterly financial results published Friday.",21-July-2023 
"Euro Markets: EUAs at four-week high as anticipation of August rally drives market. European carbon prices rose above €90 for the first time in almost four weeks on Thursday as buying pressure steadily boosted the market for a sixth day ahead of the annual August cut in auction volumes, while energy prices reversed early losses to advance for a third successive session.",21-July-2023 
"INTERVIEW: Britain needs an economy-wide ‘carbon regulator’ to harmonise future climate policy. The UK government should establish an independent, economy-wide regulator to oversee carbon policy developments and ensure consistency between ETS reforms, carbon leakage, and emissions accounting across sectors, according to a net zero research centre, speaking to Carbon Pulse.",20-July-2023 
